,description,runtime,id,imdb_score,release_year,title,type
173,A Wayward Texas cowboy washes up on the beaches of Hawaii and is taken home by an fatherless boy. He saves the family's business while romancing the single mom.,88,tm107673,5.8,1974,The Castaway Cowboy,MOVIE
174,A young boy gets along better with the animals he befriends around his family's Canadian farm than with the people he lives with.,100,tm260657,5.5,1975,The Boy Who Talked to Badgers,MOVIE
175,Two young brothers secretly bring home a seal from their summer vacation and try to hide it from Mom and Dad. Havoc ensues as Sammy's antics disrupt the quiet town of Gatesville and its unsuspecting residents.,88,tm10086,,1962,"Sammy, the Way-Out Seal",MOVIE
176,"Donald moves into a new home, and discovers his new neighbor is a slob, a mooch, and has a dog that comes crashing through the fence and digging in Donald's garden. Eventually it escalates into a full-scale war, with crowds cheering and TV coverage.",7,tm107951,,1953,The New Neighbor,MOVIE
177,"Lost in a book of fairy tales, Dale imagines what it might be like to do battle with a vicious dragon---and thanks to Donald he'll soon get to find out. As Donald moves his hulking steam shovel into position, intent on clearing a path right through their tree for a new freeway, Chip and Dale ready themselves for battle just like the knights of old. With a tuna can for armor and a hat pin for a lance, Chip charges into battle atop his trusty steed, Dale. But with some quick thinking, Donald makes his phony dragon a fire breather. Who will prevail in the medieval battle for the junkyard?",7,tm19308,,1954,Dragon Around,MOVIE
178,When the nephews come to Donald's house in their Halloween costumes he dumps water on them and laughs at his trick. A witch sees this and decides to help the kids. By magic she gives Donald a bad time and the kids finally get their treats.,8,tm61982,,1952,Trick or Treat,MOVIE
179,"Walt Disney presents a combination live-action and animated drama of America's historical fight for freedom. Includes a segment from Johnny Tremain, depicting the Boston Tea Party and the battle at Concord, and is followed by Ben and Me.",48,tm894355,,1957,The Liberty Story,MOVIE
180,Ghosts and a young cadet try to save a military academy from being closed.,120,tm205517,5.7,1980,The Ghosts of Buxley Hall,MOVIE
181,"Beekeeper Donald catches Humphrey the bear raiding his hives. He complains to Ranger Woodlore, who assembles his bears and lectures them. Donald puts up a barbed wire fence, which slows Humphrey down a bit, but doesn't stop him.",7,tm109842,,1955,Beezy Bear,MOVIE
182,"Water Birds is a 1952 short documentary film directed by Ben Sharpsteen. The film delves into the still waters of lagoons and marshes to the wild blue wilderness of the vast oceans, to experience the beauty and variety of their majestic birds, each perfectly designed for its habitat. It won the Oscar for Best Short Subject, Two-Reel.",30,tm58414,,1952,Water Birds,MOVIE
183,"Mars and Beyond is an episode of Disneyland which aired on December 4, 1957. It was directed by Ward Kimball and narrated by Paul Frees. This episode discusses the possibility of life on other planets, especially Mars. It begins with an introduction of Walt Disney and his robot friend Garco, who provide a brief overview. It continues with an animated presentation about mankind seeking to understand the world in which he lives, first noticing patterns in the stars, and developing certain beliefs regarding the celestial bodies.
 (Source Wikipedia)",53,tm123160,,1957,Mars and Beyond,MOVIE
184,"Pluto comes bounding outside to help Mickey get a Christmas tree. Chip 'n Dale see him and make fun of him, but the tree they take refuge in is the one Mickey chops down. They like the decorations, especially the candy canes and Mickey's bowl of mixed nuts. But Pluto spots them and goes after them long before Mickey spots them. Minnie, Donald, and Goofy drop by to sing carols.",7,tm59473,,1952,Pluto's Christmas Tree,MOVIE
185,"Walt Disney explains some of the techniques of animation, and includes for the first time the pencil test footage of the ""Soup Eating Sequence"" from Snow White and the Seven Dwarfs. Walt references a book called ""The Art of Animation"" which shows a technique that is used in animated cartoons that dates back to the ancient Egyptians and Greeks.",60,tm230979,,1956,The Plausible Impossible,MOVIE
186,"Walt Disney discusses the history of animation, beginning with J. Stuart Blackton and his Humorous Phases of Funny Faces in 1906, and including Gertie the Dinosaur.",49,tm895685,,1955,The Story of the Animated Drawing,MOVIE
187,"Donald has a ride-on sized train layout in his backyard. There's a large tree (home to Chip 'n Dale) that's out of scale, so Donald moves it while they're out; they come back to see their tree moving. No problem; one of Donald's model houses is just their size.",7,tm133398,,1951,Out of Scale,MOVIE
188,"With the grand opening of Disneyland just a matter of days away, Walt Disney brings us an update on the construction of the new magic kingdom. Winston Hibler narrates scenes depicting the construction on the attarctions and settings in the park as work speeds up to meet the deadline before opening day.",55,tm918170,,1955,The Pre-Opening Report from Disneyland,MOVIE
189,"Part of the ""True-Life Adventure Series""; Disney filmmakers take their cameras to Florida, not to document the swamps that would become Walt Disney World, but to capture the lives of creatures in the everglades. Focusing primarily on alligators, we also see the behavior of animals such as snakebirds, raccoons, and even otters who like to ""play"" with the alligators.",32,tm109497,,1953,Prowlers of the Everglades,MOVIE
190,"While traveling with his nephews, Donald is disgusted that they are only interested in comics. He stops at the ""fountain of youth"" and tricks the kids into thinking he is a baby again. However, he gets tangled up with an aggressive mother alligator and her babies, and makes a hurried exit with the nephews.",6,tm102930,,1953,Don's Fountain of Youth,MOVIE
191,"Mickey and Pluto go fishing. Pluto has a run-in with a clam, who eventually lodges in Pluto's mouth; Mickey thinks the clam is Pluto's tongue and can't understand why Pluto keeps begging for more food. After they get rid of the clam, Mickey's attempts to use his minnows as bait are thwarted by a hungry seagull; he brings his friends, and they chase our heroes away.",7,tm105638,,1953,The Simple Things,MOVIE
192,"As ratings for Jack Crandall's lifeless airborne traffic reports plummet, a super-size St. Bernard on the lam stows away in his chopper. Crandall's new co-pilot helps send ratings sky-high, but the canine's chronic kleptomania generates girl trouble, jewel thievery, and loads of laughs.",88,tm74573,,1969,My Dog the Thief,MOVIE
193,"Park ranger Donald sends his bears off to hibernate, but Humphrey would rather stay in his hammock, run out for a glass of water, etc., than sleep; when he does get to sleep, his snoring gets him thrown out. His search for a new bed leads him right into the ranger's house.",7,tm110618,,1955,Bearly Asleep,MOVIE
194,"Even with his long white beard and aching back, an aging Donald still has to make ends meet by lancing trash in the park. When he happens upon his old partner, an elderly honey bee named Spike, it conjures up memories of the good ol' days.",7,tm60664,,1952,Let's Stick Together,MOVIE
195,"The strange and wonderful world that lies beneath our feet, under leaf, log and rock, peopled by millions of weird and fascinating creatures. Released theatrically alongside Alice In Wonderland.",33,tm137469,,1951,Nature's Half Acre,MOVIE
196,"A teenager rock singer flees his dominating manager and finds himself on the island fortress of a ruthless millionaire. The youth befriends Sultan, a 400- pound bengal tiger, that the millionaire intends to pursue as his quarry in a murderous hunt.",47,tm94576,,1980,Sultan And The Rock Star,MOVIE
197,"Donald is shoveling the snow off his walk; Chip 'n' Dale are shoveling their branch. Donald tricks them into shoveling his walk. Angered, they sneak into his house, where he's getting ready to make popcorn. They've never seen this before, but they love it. They stow away in the box, then make off with the bowl of popped corn.",7,tm129658,,1951,Corn Chips,MOVIE
198,"Come along with Donald Duck as he visits one of nature's masterpieces. After a little ragtime rain dance, Donald strikes up a conversation with himself at Echo Cliff, then teeters along the edge of a precarious trail while riding a sure-footed burrow. It's a tough job for park ranger J. Audubon Woodlore to keep Donald in check, but it gets even tougher when they run afoul of a napping mountain lion.",7,tm19229,,1954,Grand Canyonscope,MOVIE
199,"Follow the Disco Mice of the New Mickey Mouse Club as they visit America's favorite vacation spot, Walt Disney World!",56,tm757109,8.2,1977,The Mouseketeers at Walt Disney World,MOVIE
200,"Part of the ""True-Life Adventure Series""; The subject of this two-reel are the elk of Washington state's Olympic Peninsula. We see these deer learning to walk, climbing downhill in a herd, and braving local bears. Those, plus some colorful arctic flowers, are the nice bits. We also see the elk engaging in duels (something amusingly observed and ""imitated"" by marmots), athletic fights with deadlocks said to often end in death by starvation to both participants. If that brutish behavior isn't enough to turn you off, then wait until you see how the polygamous bull males gather up wives and do battle with another (with wives as a wager) before unmelodically announcing the end of their bachelorhood.",27,tm55594,,1952,The Olympic Elk,MOVIE
201,"With a combination of documentary footage and animation, the science and history of rockets, and the effects of space travel on man are illustrated.",51,tm106320,,1955,Man in Space,MOVIE
202,"Walt takes viewers on yet another tour of Disneyland to point out some of the newest additions to the park, including New Orleans Square, It's a Small World, and Great Moments With Mr. Lincoln.",51,tm847798,,1966,Disneyland Around the Seasons,MOVIE
203,"In this enchantingly cracked fairy tale, the beautiful Princess Buttercup and the dashing Westley must overcome staggering odds to find happiness amid six-fingered swordsmen, murderous princes, Sicilians and rodents of unusual size. But even death can't stop these true lovebirds from triumphing.",99,tm19438,8.0,1987,The Princess Bride,MOVIE
204,The satiric adventures of a working-class family in the misfit city of Springfield.,27,ts20711,8.7,1989,The Simpsons,SHOW
205,A small suburban town receives a visit from a castaway unfinished science experiment named Edward.,105,tm147893,7.9,1990,Edward Scissorhands,MOVIE
206,"'Toon star Roger is worried that his wife Jessica is playing pattycake with someone else, so the studio hires detective Eddie Valiant to snoop on her. But the stakes are quickly raised when Marvin Acme is found dead and Roger is the prime suspect.",104,tm49092,7.7,1988,Who Framed Roger Rabbit,MOVIE
207,"The evil Queen Bavmorda hunts the newborn princess Elora Danan, a child prophesied to bring about her downfall. When the royal infant is found by Willow, a timid farmer and aspiring sorcerer, he's entrusted with delivering her from evil.",126,tm47587,7.2,1988,Willow,MOVIE
208,America's Funniest Home Videos is the longest-running primetime entertainment show in ABC history. Each week AFV shines the spotlight on hilarious videos. Fans tune in to witness failures and fiascos and to submit their own mishaps for their chance at stardom.,49,ts15377,6.2,1989,America's Funniest Home Videos,SHOW
209,"When plans with her boyfriend fall through, high school senior Chris Parker ends up babysitting the Anderson kids, Brad and Sara. What should be a quiet night in, however, turns into a series of ridiculous exploits, starting when they leave the house to pick up Chris' friend Brenda. Soon, Brad's buddy Daryl is involved, and the group must contend with car thieves, blues musicians and much more.",102,tm21021,6.9,1987,Adventures in Babysitting,MOVIE
210,"Dorothy, saved from a psychiatric experiment by a mysterious girl, finds herself back in the land of her dreams, and makes delightful new friends, and dangerous new enemies.",109,tm131031,6.7,1985,Return to Oz,MOVIE
211,"Eight-year-old Kevin McCallister makes the most of the situation after his family unwittingly leaves him behind when they go on Christmas vacation. But when a pair of bungling burglars set their sights on Kevin's house, the plucky kid stands ready to defend his territory. By planting booby traps galore, adorably mischievous Kevin stands his ground as his frantic mother attempts to race home before Christmas Day.",103,tm155184,7.7,1990,Home Alone,MOVIE
212,The scientist father of a teenage girl and boy accidentally shrinks his and two other neighborhood teens to the size of insects. Now the teens must fight diminutive dangers as the father searches for them.,93,tm142764,6.4,1989,"Honey, I Shrunk the Kids",MOVIE
213,"A successful businessman falls in love with the girl of his dreams. There's one big complication though; he's fallen hook, line and sinker for a mermaid.",111,tm173648,6.3,1984,Splash,MOVIE
214,"12-year-old David is accidentally knocked out in the forest near his home, but when he awakens eight years have passed. His family is overjoyed to have him back, but is just as perplexed as he is that he hasn't aged. When a NASA scientist discovers a UFO nearby, David gets the chance to unravel the mystery and recover the life he lost.",90,tm116020,6.9,1986,Flight of the Navigator,MOVIE
215,"As Kevin Flynn searches for proof that he invented a hit video game, he is 'digitized' by a laser and finds himself inside 'The Grid', where programs suffer under the tyrannical rule of the Master Control Program (MCP). With the help of a security program called 'TRON', Flynn seeks to free The Grid from the MCP.",96,tm46793,6.7,1982,Tron,MOVIE
216,Three bachelors find themselves forced to take care of a baby left by one of the guy's girlfriends.,102,tm19084,6.1,1987,3 Men and a Baby,MOVIE
217,"Taran is an assistant pigkeeper with boyish dreams of becoming a great warrior. However, he has to put the daydreaming aside when his charge, an oracular pig named Hen Wen, is kidnapped by an evil lord known as the Horned King. The villain hopes Hen will show him the way to The Black Cauldron, which has the power to create a giant army of unstoppable soldiers.",80,tm127019,6.3,1985,The Black Cauldron,MOVIE
218,"Scrooge McDuck finds his hands full at home when nephews Huey, Dewey and Louie move to Duckburg. Joined by their loyal pals Launchpad McQuack, Gyro Gearloose and Mrs. Beakley, the DuckTales gang never fails to deliver a wealth of adventure. Get ready for a fortune of fun with DuckTales!",21,ts146,8.1,1987,DuckTales,SHOW
219,"Luke Skywalker leads a mission to rescue his friend Han Solo from the clutches of Jabba the Hutt, while the Emperor seeks to destroy the Rebellion once and for all with a second dreaded Death Star.",135,tm3,8.3,1983,Return of the Jedi,MOVIE
220,"Scott Turner has 3 days left in the local police department before he moves to a bigger city to get some 'real' cases—not just misdemeanors. When Amos Reed is murdered, Scott sets himself on the case, but the closest thing to a witness to the murder is Reed's dog, Hooch, which Scott has to take care of—to avoid Hooch being 'put to sleep'.",97,tm131193,6.2,1989,Turner & Hooch,MOVIE
221,"Chip and Dale head a small, eccentric group of animal characters who monitor not only the human world, but the animal community as well, solving mysteries wherever they may be. The ""Rescue Rangers"" take the cases that fall through the cracks.",23,ts11857,7.5,1989,Chip 'n' Dale Rescue Rangers,SHOW
222,Spider-Man is an American animated TV series based on the popular Marvel Comics character of the same name.,22,ts22529,6.9,1981,Spider-Man,SHOW
223,"In the 1940s in the small town of Jupiter Hollow, two sets of identical twins are born in the same hospital on the same night. One set to a poor local family and the other to a rich family just passing through. The dizzy nurse on duty accidentally mixes the twins unbeknown to the parents. Our story flashes forward to the 1980s where the mismatched sets of twins are about to cross paths.",97,tm54457,6.4,1988,Big Business,MOVIE
224,"Kermit and Fozzie are newspaper reporters sent to London to interview Lady Holiday, a wealthy fashion designer whose priceless diamond necklace is stolen. Kermit meets and falls in love with her secretary, Miss Piggy. The jewel thieves strike again, and this time frame Miss Piggy. It's up to Kermit and Muppets to bring the real culprits to justice.",98,tm127015,7.1,1981,The Great Muppet Caper,MOVIE
225,"Spider-Man and His Amazing Friends is an American animated television series produced by Marvel Productions starring established Marvel Comics characters Spider-Man and Iceman and an original character, Firestar. As a trio called the Spider-Friends, they fought against various villains.",25,ts22521,7.2,1981,Spider-Man and His Amazing Friends,SHOW
226,"The army of the Marauders, led by King Terak and the witch Charal, attack the Ewoks village, killing Cindel's family. Cindel and the Ewok Wicket escape and meet Teek in the forest, a naughty and very fast animal. Teek takes them to a house in which an old man, Noa, lives. Like Cindel, he also crashed with his Starcruiser on Endor. Together they fight Terak and Charal.",100,tm125611,5.4,1985,Ewoks: The Battle for Endor,MOVIE
227,"The Towani family civilian shuttlecraft crashes on the forest moon of Endor. The four Towani's are separated. Jermitt and Catarine, the mother and father are captured by the giant Gorax, and Mace and Cindel, the son and daughter, are missing when they are captured. The next day, the Ewok Deej is looking for his two sons when they find Cindel all alone in the shuttle (Mace and Cindel were looking for the transmitter to send a distress call), when Mace appears with his emergency blaster. Eventually, the four-year old Cindel is able to convince the teenage Mace that the Ewoks are nice. Then, the Ewoks and the Towani's go on an adventure to find the elder Towanis.",96,tm171883,5.3,1984,The Ewok Adventure,MOVIE
228,"When the diabolical Professor Ratigan kidnaps London's master toymaker, the brilliant master of disguise Basil of Baker Street and his trusted sidekick Dawson try to elude the ultimate trap and foil the perfect crime.",74,tm116429,7.2,1986,The Great Mouse Detective,MOVIE
229,"Join the world’s sweetest heroes for high adventure in a mystical land of giants and wizards, ogres and dragons, and wondrous creatures both good and evil. Meet Gruffi, Zummi, Cubbi, Grammi, Tummi, Sunni, and all the legendary Gummis as they laugh, play, foil dastardly plots, and fight for what's right.",22,ts233,7.5,1985,Disney's Adventures of the Gummi Bears,SHOW
230,This colorful adventure tells the story of an impetuous mermaid princess named Ariel who falls in love with the very human Prince Eric and puts everything on the line for the chance to be with him. Memorable songs and characters -- including the villainous sea witch Ursula.,83,tm139255,7.6,1989,The Little Mermaid,MOVIE
231,Baloo the Bear stars in an adventurous comedy of love and conflict with his friend Kit Cloudkicker. Rebecca Cunningham and her daughter Molly purchase Baloo's failing company and Baloo must fly transport runs to clear his debt while dodging Don Karnage and his sky pirates.,22,ts22183,7.6,1990,TaleSpin,SHOW
232,"This animated take on Oliver Twist re-imagines Oliver as an adorable orphaned kitten who struggles to survive in New York City and falls in with a band of canine criminals led by an evil human. First, Oliver meets Dodger, a carefree mutt with street savoir faire. But when Oliver meets wealthy Jenny on one of the gang's thieving missions, his life changes forever.",74,tm45667,6.6,1988,Oliver & Company,MOVIE
233,"When Santa Claus decides to retire and pass on his magic bag of Christmas surprises to a new Saint Nick, he enlists the aid of a hilarious assortment of characters. A perky teen runaway and hapless taxi driver Ernest P. Worrell must convince a skeptical kiddie-show host to take over the post of Father Christmas.",95,tm57222,5.6,1988,Ernest Saves Christmas,MOVIE
234,An animated television series that features the exploits of R2-D2 and C-3PO. The series takes place between the events depicted in Star Wars Episode III: Revenge of the Sith and Star Wars Episode IV: A New Hope.,23,ts21039,5.9,1985,Star Wars: Droids,SHOW
235,An American animated children's television series inspired by A. A. Milne's Winnie-the-Pooh stories.,22,ts21976,7.6,1988,The New Adventures of Winnie the Pooh,SHOW
236,"America is in the depths of the Great Depression. Families drift apart when faraway jobs beckon. A courageous young girl confronts overwhelming odds when she embarks on a cross-country search for her father. During her odyssey, she forms a close bond with two diverse traveling companions: a magnificent, protective wolf, and a hardened drifter.",101,tm128057,7.0,1985,The Journey of Natty Gann,MOVIE
237,"A lawless poacher wants to capture a majestic and rare golden eagle, so he kidnaps the boy who knows where to find the bird. Not to worry -- the Rescue Aid Society's top agents, heroic mice Miss Bianca and Bernard, fly to Australia to save the day. Accompanying the fearless duo are bumbling albatross Wilbur and local field operative Jake the Kangaroo Rat.",77,tm156156,6.8,1990,The Rescuers Down Under,MOVIE
238,The Ewok Wicket and his friends from the Bright Tree Village go on many magical adventures.,25,ts28737,6.0,1985,Star Wars: Ewoks,SHOW
239,"When a feisty little fox named Tod is adopted into a farm family, he quickly becomes friends with a fun and adorable hound puppy named Copper. Life is full of hilarious adventures until Copper is expected to take on his role as a hunting dog -- and the object of his search is his best friend!",82,tm126966,7.2,1981,The Fox and the Hound,MOVIE
240,"Sylvia's work increasingly takes her away from the three men who help bring up Mary, her daughter. When she decides to move to England and take Mary with her, the three men are heartbroken at losing the two most important females in their lives.",104,tm152805,5.4,1990,3 Men and a Little Lady,MOVIE
241,"When young Victor's pet dog Sparky (who stars in Victor's home-made monster movies) is hit by a car, Victor decides to bring him back to life the only way he knows how. But when the bolt-necked ""monster"" wreaks havoc and terror in the hearts of Victor's neighbors, he has to convince them (and his parents) that despite his appearance, Sparky's still the good loyal friend he's always been.",29,tm164406,,1984,Frankenweenie,MOVIE
242,"With his nephews and niece, everyone's favorite rich uncle, Scrooge McDuck, treks from his mansion home in Duckburg in search of the long-lost loot of the thief Collie Baba. But finding the goods isn't quite what it's ""quacked"" up to be! Their thrilling adventure leads to comical chaos, magical mayhem, and a lesson about what is far more valuable than money, gold and jewels.",71,tm146813,6.8,1990,DuckTales: The Movie - Treasure of the Lost Lamp,MOVIE
243,A young Norwegian boy in 1850s England goes to work as a cabin boy and discovers some of his shipmates are actually pirates.,92,tm160651,6.6,1990,Shipwrecked,MOVIE
244,"Benji has become stranded on a remote island after a boating accident. He finds himself struggling to survive in the wilderness, avoiding close encounters with a wolf, a bear, and a territorial female cougar with her cub.",88,tm23825,6.2,1987,Benji the Hunted,MOVIE
245,"Ebenezer Scrooge is far too greedy to understand that Christmas is a time for kindness and generosity. But with the guidance of some new found friends, Scrooge learns to embrace the spirit of the season. A retelling of the classic Dickens tale with Disney's classic characters.",26,tm66657,,1983,Mickey's Christmas Carol,MOVIE
246,A woman leaves her husband after the death of her child to teach deaf children how to speak. Her own child was deaf and although she has no formal training she successfully teaches one boy.,100,tm123092,6.5,1981,Amy,MOVIE
247,"A baby lamp finds a ball to play with and it's all fun and games until the ball bursts. Just when the elder Luxo thinks his kid will settle down for a bit, Luxo Jr. finds a ball ten times bigger.",2,tm111692,,1986,Luxo Jr.,MOVIE
248,"Long ago in a land with an ailing king, there was a pair of boys who looked exactly alike, a pauper called Mickey and the other, the Crown Prince.",25,tm152951,,1990,The Prince and the Pauper,MOVIE
249,"Life on a shelf as a snowman trapped in a snow-globe blizzard can become wearing, especially when you're surrounded by knickknacks from sunnier locales. When the jaded snowman finally breaks free of his glass house, his vacation plans are cut short.",4,tm135273,,1989,Knick Knack,MOVIE
250,"Ginny Grainger, a young mother, rediscovers the joy and beauty of Christmas, thanks to the unshakable faith of her six-year-old daughter Abbie and Gideon, Ginny's very own guardian angel.",105,tm126783,6.4,1985,One Magic Christmas,MOVIE
251,"Horace McNickle (Edward Asner) is a two-time felon serving prison time for counterfeiting. On the week before Christmas, he escapes from prison dressed as Santa Claus due to his uncanny resemblence to St. Nick resulting from his long white beard and heavyset features. McNickle hides out from the police in a nearby suburban neighborhood where he is befriended and helped by two local children who think he is the real Santa Claus. McNickle takes advantage of the kids naive ness to help him get his counterfeit money hidden somewhere in a local department store while he develops kind-hearted feelings for his two con victims that make him slowly understand the true nature of Christmas.",94,tm120517,6.3,1986,The Christmas Star,MOVIE
252,"A novelty-salesman moves his family into a new house. Initially dismissing incidents as more of their father's practical jokes, the family soon learns that the house is haunted by people who lived in the house 300 years previously.",44,tm341045,,1986,Mr. Boogedy,MOVIE
253,"Life as the sole sale item in the clearance corner of Eben's Bikes can get lonely. So Red, a unicycle, dreams up a clown owner and his own juggling act that steals the show. But all too soon, the applause turns into the sound of rainfall, as reality rushes back. Red must resign himself to sitting in the corner and await his fate.",4,tm19762,,1987,Red's Dream,MOVIE
254,Roger Rabbit once again is chosen for the dangerous task of babysitting Baby Herman and everything is going to be just fine.,7,tm131374,,1989,Tummy Trouble,MOVIE
255,"Babies are hardly monster-like, unless you're a toy. After escaping a drooling baby, Tinny realizes that he wants to be played with after all. But in the amount of time it takes him to discover this, the baby's attention moves on to other things only an infant could find interesting.",5,tm46878,,1988,Tin Toy,MOVIE
256,"In the vein of ""Harvey"", an invisible creature befriends a 12 year old boy. Of course, no one else can see him nor believes in him.",46,tm120337,,1986,Fuzzbucket,MOVIE
257,"There's nothing like a restful nap in a pleasant wooded valley. But when André awakens and is greeted by a pesky yellow-and-black striped insect with a nasty stinger, he ends up taking a quick (and painful) hike.",2,tm176458,,1984,The Adventures of André and Wally B.,MOVIE
258,"An American boy and girl, spending six months in Kenya with their scientist parents adopt a cheetah, only to realize that they must set it loose so that it can learn to hunt and be free. However, when the animal is captured by poachers planning to race it against greyhounds, the two city kids, together with a young African goat herder they befriended, head off into the wild to rescue the cheetah.",83,tm141214,5.9,1989,Cheetah,MOVIE
259,"Jamie and Allie are amateur sleuths whose grandfather runs a small security business. One afternoon, while digging around on their own, they accidentally stumble onto a major case.",47,tm117853,,1986,Casebusters,MOVIE
260,"In this sequel to the made-for-television Disney family classic, Mr. Boogedy, the Davis family deals with the return of Mr. Boogedy and his never-ending hunt for Widow Marion as well as a rival gag-store competitor who really has it out for Carleton. Meanwhile, the town of Lucifer Falls is planning a big carnival which the mean Mr. Lynch seeks to ruin- if Boogedy doesn't see to that first.",90,tm26441,,1987,Bride of Boogedy,MOVIE
261,"On the first day at his new school, Cameron instantly falls for Bianca, the gorgeous girl of his dreams. The only problem is that Bianca is forbidden to date until her ill-tempered, completely un-dateable older sister Kat goes out, too. In an attempt to solve his problem, Cameron singles out the only guy who could possibly be a match for Kat: a mysterious bad boy with a nasty reputation of his own.",97,tm874,7.3,1999,10 Things I Hate About You,MOVIE
262,"The coming of age events and everyday life-lessons of Cory Matthews, a Philadelphian who grows up from a young boy to a married man.",23,ts2431,8.0,1993,Boy Meets World,SHOW
263,"Two mutants, Rogue and Wolverine, come to a private academy for their kind whose resident superhero team, the X-Men, must oppose a terrorist organization with similar powers.",104,tm18191,7.4,2000,X-Men,MOVIE
264,"Bitten by a radioactive spider, Peter Parker develops spider-like superpowers. He uses these to fight crime while trying to balance it with the struggles of his personal life.",21,ts21709,8.4,1994,Spider-Man,SHOW
265,"12-year-old Henry Rowengartner, whose late father was a minor league baseball player, grew up dreaming of playing baseball, despite his physical shortcomings. After Henry's arm is broken while trying to catch a baseball at school, the tendon in that arm heals too tightly, allowing Henry to throw pitches that are as fast as 103 mph. Henry is spotted at nearby Wrigley Field by Larry ""Fish"" Fisher, the general manager of the struggling Chicago Cubs, after Henry throws an opponent's home-run ball all the way from the outfield bleachers back to the catcher, and it seems that Henry may be the pitcher that team owner Bob Carson has been praying for.",103,tm189317,6.0,1993,Rookie of the Year,MOVIE
266,"A retired farmer and widower in his 70s, Alvin Straight learns one day that his distant brother Lyle has suffered a stroke and may not recover. Alvin is determined to make things right with Lyle while he still can, but his brother lives in Wisconsin, while Alvin is stuck in Iowa with no car and no driver's license. Then he hits on the idea of making the trip on his old lawnmower, thus beginning a picturesque and at times deeply spiritual odyssey.",112,tm55150,8.0,1999,The Straight Story,MOVIE
267,"After leading his football team to 15 winning seasons, coach Bill Yoast is demoted and replaced by Herman Boone – tough, opinionated and as different from the beloved Yoast as he could be. The two men learn to overcome their differences and turn a group of hostile young men into champions.",113,tm19613,7.8,2000,Remember the Titans,MOVIE
268,"The X-Men are an elite team of mutants, genetically gifted human beings with superpowers, sworn to fight for mutant rights against hostile Government agencies, whilst at the same time protecting mankind from mutant supremacist Magneto who seeks to destroy the human race in return for the atrocities committed against mutant kind.",22,ts22158,8.5,1992,X-Men,SHOW
269,"Dinosaurs follows the life of a family of dinosaurs, living in a modern world. They have TV's, fridges, microwaves, and every modern convenience.",24,ts8909,7.5,1991,Dinosaurs,SHOW
270,"A transit worker pulls commuter Peter off railway tracks after he's mugged, but—while he's in a coma—his family mistakenly thinks she's Peter's fiancée, and she doesn't correct them. Things get more complicated when she falls for his brother, who's not quite sure that she's who she claims to be.",103,tm7861,6.7,1995,While You Were Sleeping,MOVIE
271,"Hallie Parker and Annie James are identical twins separated at a young age because of their parents' divorce. Unknowingly to their parents, the girls are sent to the same summer camp where they meet, discover the truth about themselves, and then plot with each other to switch places.",128,tm57184,6.6,1998,The Parent Trap,MOVIE
272,"Doug Funnie experiences common predicaments while attending school in his new hometown of Bluffington, Virginia.",24,ts6600,7.4,1991,Doug,SHOW
273,"Camp Hope is a summer retreat for overweight boys run by a kindly couple who make the campers feel comfortable with their extra pounds. But when tyrannical fitness guru Tony buys the camp, he puts the kids on a cruel regimen that goes too far. Sick of the endless weeks of ""all work and no play,"" the kids stage a coup and reclaim their summer of fun.",100,tm11036,6.6,1995,Heavyweights,MOVIE
274,"In 1965, passionate musician Glenn Holland takes a day job as a high school music teacher, convinced it's just a small obstacle on the road to his true calling: writing a historic opus. As the decades roll by with the composition unwritten but generations of students inspired through his teaching, Holland must redefine his life's purpose.",137,tm9378,7.3,1995,Mr. Holland's Opus,MOVIE
275,"A stunt pilot comes across a prototype jetpack that gives him the ability to fly. However, evil forces of the world also want this jetpack at any cost.",108,tm5330,6.5,1991,The Rocketeer,MOVIE
276,"A Reno singer witnesses a mob murder and the cops stash her in a nunnery to protect her from the mob's hitmen. The mother superior does not trust her, and takes steps to limit her influence on the other nuns. Eventually the singer rescues the failing choir and begins helping with community projects, which gets her an interview on TV—and identification by the mob.",100,tm124857,6.4,1992,Sister Act,MOVIE
277,"Deep in the African jungle, a baby named George, the sole survivor of a plane crash, is raised by gorillas. George grows up to be a buff and lovable klutz who has a rain forest full of animal friends: Tookie, his big-beaked toucan messenger; Ape, a witty talking gorilla; and Shep, a peanut-loving pooch of an elephant. But when poachers mess with George's pals, the King Of Swing swings into action.",92,tm190977,5.5,1997,George of the Jungle,MOVIE
278,"Kuzco is a self-centered emperor who summons Pacha from a village and to tell him that his home will be destroyed to make room for Kuzco's new summer home. Kuzco's advisor, Yzma, tries to poison Kuzco and accidentally turns him into a llama, who accidentally ends up in Pacha's village. Pacha offers to help Kuzco if he doesn't destroy his house, and so they form an unlikely partnership.",78,tm26792,7.4,2000,The Emperor's New Groove,MOVIE
279,"In Scotland, 994 A.D. Goliath and his clan of gargoyles defend a medieval castle. In present day, David Xanatos buys the castle and moves it to New York City. When the castle is attacked the gargoyles are awakened from a 1000 year curse.",22,ts21697,8.1,1994,Gargoyles,SHOW
280,"When the young orphan boy James spills a magic bag of crocodile tongues, he finds himself in possession of a giant peach that flies him away to strange lands.",79,tm105031,6.7,1996,James and the Giant Peach,MOVIE
281,"Remake of the popular Disney classic, this time featuring some well known voices as two dogs and a cat trek across America encountering all sorts of adventures in the quest to be reunited with their owners.",84,tm189771,6.9,1993,Homeward Bound: The Incredible Journey,MOVIE
